Index,Plate Appearance (season),Date,Hands on Swing,Handedness,Outcome,EV,LA,Air/Ground,Outcome Direction,Pitch Location,Pitch Velo,2 strikes,,,
279,139,6/21/23,2,L,Foul,70.3,36,,,2,92,y,,,
280,139,6/21/23,2,L,F7,92.1,27,A,7,7,85,y,,,
281,140,6/24/23,2,R,Foul,74.1,19,,,4,91,n,,,
282,140,6/24/23,2,R,Foul,95.8,28,,,11,91,y,,,
283,140,6/24/23,1,R,K,,,,,1,92,y,,,
284,141,6/24/23,2,R,Miss,,,,,14,83,n,,,
285,141,6/24/23,2,R,Foul,104.9,19,,,9,91,n,,,
286,142,6/24/23,1,R,Miss,,,,,13,90,n,,,
287,142,6/24/23,2,R,P4,89,63,A,4,1,94,n,,,
288,143,6/27/23,2,R,F7,84.3,43,A,7,9,96,n,,,
289,144,6/27/23,2,R,Foul,,,,,13,92,n,,,
290,144,6/27/23,2,R,Miss,,,,,13,92,n,,,
291,144,6/27/23,2,R,Foul,64.8,38,,,7,81,y,,,
292,144,6/27/23,2,R,Single ,104.6,7,,7,12,98,y,,,
293,145,6/27/23,Check,R,Miss,,,,,14,87,n,,,
294,145,6/27/23,2,R,Single,77.5,-7,,7,13,85,y,,,
295,146,6/27/23,2,L,Foul,57.3,-77,,,8,80,n,,,
296,146,6/27/23,1,L,K,,,,,3,89,y,,,
297,147,6/28/23,1,L,P2,80.4,85,A,2,2,92,n,,,
298,148,6/28/23,1,L,Single,79.3,30,,7,2,92,n,,,
299,149,6/28/23,1,L,Foul,85.6,48,,,12,89,n,,,
300,149,6/28/23,1,L,K,,,,,13,89,y,,,
301,150,6/28/23,Check,L,Miss,,,,,13,87,n,,,
302,151,6/28/23,2,L,Foul,,,,,8,87,y,,,
303,151,6/28/23,2,L,Foul,69.1,22,,,6,85,y,,,
304,151,6/28/23,2,L,K,,,,,3,98,y,,,
305,152,7/1/23,2,R,Foul,78.4,-18,,,13,78,n,,,
306,152,7/1/23,1,R,5/4/03,82.3,-4,G,5,6,88,y,,,
307,153,7/1/23,1,L,Miss,,,,,12,84,n,game 2 dh,,
308,153,7/1/23,1,L,Miss,,,,,13,83,n,,,
309,153,7/1/23,1,L,K,,,,,13,84,y,!,,
310,154,7/1/23,1,L,3-Apr,66.9,-44,G,4,2,94,n,,,
311,155,7/1/23,1,L,Miss,,,,,9,87,n,,,
312,156,7/1/23,1,L,3-Jun,92.3,2,G,6,13,88,n,,,
313,157,7/2/23,1,L,Single,76.3,24,,8,13,96,n,,,
314,158,7/3/23,1,R,Foul,56,-30,,,14,78,y,,,
315,158,7/3/23,2,R,Foul,90,84,,,5,88,y,,,
316,158,7/3/23,2,R,Single,100.4,0,,7,1,90,y,,,
317,159,7/3/23,1,R,3-Jun,71.5,-30,G,6,5,86,n,,,
318,160,7/3/23,2,R,Miss,,,,,2,93,n,,,
319,160,7/3/23,2,R,F9,83.2,50,A,9,9,83,n,,,
320,161,7/4/23,2,R,Foul,76.4,73,,,6,97,n,,,
321,161,7/4/23,2,R,Foul,63.5,54,,,6,97,n,,,
322,161,7/4/23,2,R,Foul,78.2,50,,,1,99,y,,,
323,161,7/4/23,1,R,K,,,,,13,86,y,,,
324,162,7/4/23,2,R,Foul,75.7,45,,,5,98,n,,,
325,163,7/4/23,2,R,Miss,,,,,1,94,n,,,
326,163,7/4/23,Check,R,Foul,79.9,10,,,10,94,y,,,
327,163,7/4/23,2,R,3-Apr,66.8,4,G,4,5,95,y,,,
328,164,7/4/23,2,L,Single,96.4,19,,7,2,51,n,,,
329,165,7/5/23,2,L,Foul,86.3,64,,,6,94,n,,,
330,165,7/5/23,1,L,Foul,51.6,-26,,,13,82,n,,,
331,165,7/5/23,2,L,Foul,76.3,22,,,11,94,y,,,
332,165,7/5/23,2,L,Foul,83.7,68,,,8,83,y,,,
333,165,7/5/23,1,L,Foul,90.9,81,,,4,94,y,,,
334,165,7/5/23,2,L,Foul,68.7,30,,,5,94,y,,,
335,165,7/5/23,1,L,Foul,67.6,44,,,13,83,y,,,
336,165,7/5/23,Check,L,K,,,,,12,84,y,,,
